N,X,Z,Time
point 1,0,0,2024-06-26 16:40:28
point 2,25,25,2024-06-26 16:40:28
point 3,25,25,2024-06-26 16:40:28
point 4,25,0,2024-06-26 16:40:28
turn 1,-0.02317704,19.7438,2024-06-26 16:40:44
turn 2,21.62045,19.80605,2024-06-26 16:40:49
turn 3,21.72169,-1.571072,2024-06-26 16:40:53
turn 4,-3.831037,-1.717002,2024-06-26 16:40:57
