N,X,Z,Time
point 1,0,0,2024-06-25 19:15:58
point 2,0,45,2024-06-25 19:15:58
point 3,45,45,2024-06-25 19:15:58
point 4,45,0,2024-06-25 19:15:58
turn 1,-0.01930008,27.85871,2024-06-25 19:16:17
turn 2,20.15113,27.9153,2024-06-25 19:16:20
turn 3,20.17092,0.6929806,2024-06-25 19:16:23
turn 4,-13.39222,0.540924,2024-06-25 19:16:26
