N,X,Z,Time
point 1,0,0,2024-06-25 19:15:20
point 2,0,12,2024-06-25 19:15:20
point 3,12,12,2024-06-25 19:15:20
point 4,12,0,2024-06-25 19:15:20
turn 1,0.09322983,5.39754,2024-06-25 19:15:43
turn 2,6.568393,5.33526,2024-06-25 19:15:46
turn 3,6.501016,-1.971105,2024-06-25 19:15:50
turn 4,-2.102783,-1.986562,2024-06-25 19:15:53
