N,X,Z,Time
point 1,0,0,2024-06-26 16:23:19
point 2,0,45,2024-06-26 16:23:19
point 3,45,45,2024-06-26 16:23:19
point 4,45,0,2024-06-26 16:23:19
turn 1,-7.450581E-07,22.0726,2024-06-26 16:23:39
turn 2,21.47149,22.07232,2024-06-26 16:23:48
turn 3,21.47996,1.987056,2024-06-26 16:23:55
turn 4,2.120627,1.986601,2024-06-26 16:24:02
