N,X,Z,Time
point 1,0,0,2024-06-26 16:20:48
point 2,0,12,2024-06-26 16:20:48
point 3,12,12,2024-06-26 16:20:48
point 4,12,0,2024-06-26 16:20:48
turn 1,-7.56979E-06,0.01050591,2024-06-26 16:20:59
turn 2,8.866479,0.009826742,2024-06-26 16:22:10
turn 3,8.866479,0.009817243,2024-06-26 16:22:13
turn 4,8.866496,0.009816125,2024-06-26 16:22:24
