N,X,Z,Time
point 1,0,0,2024-06-25 19:17:04
point 2,25,25,2024-06-25 19:17:04
point 3,25,25,2024-06-25 19:17:04
point 4,25,0,2024-06-25 19:17:04
turn 1,-0.06939652,18.1813,2024-06-25 19:17:19
turn 2,15.03627,18.21347,2024-06-25 19:17:22
turn 3,15.05882,1.262676,2024-06-25 19:17:25
turn 4,-8.928703,1.189275,2024-06-25 19:17:28
