N,X,Z,Time
point 1,0,0,2024-06-25 19:16:31
point 2,0,45,2024-06-25 19:16:31
point 3,45,45,2024-06-25 19:16:31
point 4,45,0,2024-06-25 19:16:31
turn 1,-0.1380834,50.94162,2024-06-25 19:16:51
turn 2,29.49782,51.01328,2024-06-25 19:16:54
turn 3,29.46738,22.2933,2024-06-25 19:16:56
turn 4,1.773868,22.28538,2024-06-25 19:16:59
