N,X,Z,Time
point 1,0,0,2024-06-26 16:05:37
point 2,0,45,2024-06-26 16:05:37
point 3,45,45,2024-06-26 16:05:37
point 4,45,0,2024-06-26 16:05:37
turn 1,0.07658686,28.79812,2024-06-26 16:06:00
turn 2,28.33674,28.82134,2024-06-26 16:06:08
turn 3,28.33509,-5.046707,2024-06-26 16:06:20
turn 4,-3.476547,-5.157744,2024-06-26 16:06:26
