N,X,Z
point 1,0,0
point 2,20,20
point 3,20,20
point 4,20,0
turn 1,0.04760602,11.97016
turn 2,11.16125,12.01001
turn 3,11.09114,-0.7040682
turn 4,1.518423,-0.6600682
