N,X,Z,Time
point 1,0,0,2024-06-26 16:36:30
point 2,0,12,2024-06-26 16:36:30
point 3,12,12,2024-06-26 16:36:30
point 4,12,0,2024-06-26 16:36:30
turn 1,0.06805862,10.85747,2024-06-26 16:37:01
turn 2,11.81062,10.71234,2024-06-26 16:37:07
turn 3,11.6633,-0.02784039,2024-06-26 16:37:13
turn 4,0.2214264,0.0769562,2024-06-26 16:37:18
