N,X,Z,Time
point 1,0,0,2024-06-26 16:39:42
point 2,0,45,2024-06-26 16:39:42
point 3,45,45,2024-06-26 16:39:42
point 4,45,0,2024-06-26 16:39:42
turn 1,-0.1900052,38.80026,2024-06-26 16:40:04
turn 2,40.03448,39.01928,2024-06-26 16:40:10
turn 3,40.22007,0.6519886,2024-06-26 16:40:16
turn 4,0.7237185,0.4954516,2024-06-26 16:40:23
