N,X,Z,Time
point 1,0,0,2024-06-26 16:37:23
point 2,0,45,2024-06-26 16:37:23
point 3,45,45,2024-06-26 16:37:23
point 4,45,0,2024-06-26 16:37:23
turn 1,0.3677676,59.99686,2024-06-26 16:37:57
turn 2,60.72148,59.62193,2024-06-26 16:38:19
turn 3,60.46346,-39.39706,2024-06-26 16:38:50
turn 4,15.44638,-39.44464,2024-06-26 16:39:37
