N,X,Z,Time
point 1,0,0,2024-06-26 16:24:07
point 2,0,25,2024-06-26 16:24:07
point 3,25,25,2024-06-26 16:24:07
point 4,25,0,2024-06-26 16:24:07
turn 1,7.301569E-07,16.51891,2024-06-26 16:24:29
turn 2,17.50704,16.51885,2024-06-26 16:24:37
turn 3,17.51835,-2.277418,2024-06-26 16:24:44
turn 4,-4.205009,-2.277574,2024-06-26 16:24:50
