N,X,Z,Time
point 1,0,0,2024-06-26 16:22:29
point 2,0,45,2024-06-26 16:22:29
point 3,45,45,2024-06-26 16:22:29
point 4,45,0,2024-06-26 16:22:29
turn 1,1.40816E-06,19.49331,2024-06-26 16:22:53
turn 2,18.68904,19.49309,2024-06-26 16:23:00
turn 3,18.68894,1.422658,2024-06-26 16:23:07
turn 4,1.861391,1.422639,2024-06-26 16:23:14
