Time,A0,A1,Pace,Phase
0.02,0,0,0,160.85
0.04,0,0,0,160.85
0.06,0,0,0,160.85
0.08,0,0,0,160.85
0.09999999,0,0,0,160.85
0.12,0,0,0,160.85
0.14,0,0,0,160.85
0.16,0,0,0,160.85
0.18,0,0,0,160.85
0.2,0,0,0,160.85
0.22,0,0,0,160.85
0.24,0,0,0,160.85
0.26,0,0,0,160.85
0.28,0,0,0,160.85
0.3,0,0,0,160.85
0.32,0,0,0,160.85
0.34,0,0,0,160.85
0.36,0,0,0,160.85
0.38,0,0,0,160.85
0.4,0,0,0,160.85
0.42,0,0,0,160.85
0.44,0,0,0,160.85
0.46,0,0,0,160.85
0.48,0,0,0,160.85
0.5,0,0,0,160.85
0.52,0,0,0,160.85
0.54,0,0,0,160.85
0.56,0,0,0,160.85
0.58,0,0,0,160.85
0.6,0,0,0,160.85
0.62,0,0,0,160.85
0.64,0,0,0,160.85
0.66,0,0,0,160.85
0.68,0,0,0,160.85
0.7,0,0,0,160.85
0.72,0,0,0,160.85
0.74,0,0,0,160.85
0.76,0,0,0,160.85
0.78,0,0,0,160.85
0.8,0,0,0,160.85
0.82,0,0,0,160.85
0.84,0,0,0,160.85
0.86,0,0,0,160.85
0.88,0,0,0,160.85
0.9,0,0,0,160.85
0.92,0,0,0,160.85
0.94,0,0,0,160.85
0.96,0,0,0,160.85
0.98,0,0,0,160.85
1,0,0,0,160.85
1.02,0,0,0,160.85
1.04,0,0,0,160.85
1.06,0,0,0,160.85
1.08,0,0,0,160.85
1.1,0,0,0,160.85
1.12,0,0,0,160.85
1.14,0,0,0,160.85
1.16,0,0,0,160.85
1.18,0,0,0,160.85
1.2,0,0,0,160.85
1.22,0,0,0,160.85
1.24,0,0,0,160.85
1.26,0,0,0,160.85
1.28,0,0,0,160.85
1.3,0,0,0,160.85
1.32,0,0,0,160.85
1.34,0,0,0,160.85
1.36,0,0,0,160.85
1.38,0,0,0,160.85
1.4,0,0,0,160.85
1.42,0,0,0,160.85
1.44,0,0,0,160.85
1.46,0,0,0,160.85
1.48,0,0,0,160.85
1.5,0,0,0,160.85
1.52,0,0,0,160.85
1.54,0,0,0,160.85
1.56,0,0,0,160.85
1.58,0,0,0,160.85
1.6,0,0,0,160.85
1.62,0,0,0,160.85
1.64,0,0,0,160.85
1.66,0,0,0,160.85
1.68,0,0,0,160.85
1.7,0,0,0,160.85
1.72,0,0,0,160.85
1.74,0,0,0,160.85
1.76,0,0,0,160.85
1.78,0,0,0,160.85
1.8,0,0,0,160.85
1.82,0,0,0,160.85
1.84,0,0,0,160.85
1.86,0,0,0,160.85
1.88,0,0,0,160.85
1.9,0,0,0,160.85
1.92,0,0,0,160.85
1.94,0,0,0,160.85
1.96,0,0,0,160.85
1.98,0,0,0,160.85
2,0,0,0,160.85
2.02,0,0,0,160.85
2.04,0,0,0,160.85
2.06,0,0,0,160.85
2.08,0,0,0,160.85
2.1,0,0,0,160.85
2.12,0,0,0,160.85
2.14,0,0,0,160.85
2.16,0,0,0,160.85
2.18,0,0,0,160.85
2.2,0,0,0,160.85
2.22,0,0,0,160.85
2.24,0,0,0,160.85
2.26,0,0,0,160.85
2.28,0,0,0,160.85
2.3,0,0,0,160.85
2.32,0,0,0,160.85
2.34,0,0,0,160.85
2.36,0,0,0,160.85
2.38,0,0,0,160.85
2.4,0,0,0,160.85
2.42,0,0,0,160.85
2.44,0,0,0,160.85
2.46,0,0,0,160.85
2.48,0,0,0,160.85
2.5,0,0,0,160.85
2.52,0,0,0,160.85
2.54,0,0,0,160.85
2.56,0,0,0,160.85
2.58,0,0,0,160.85
2.6,0,0,0,160.85
2.62,0,0,0,160.85
2.64,0,0,0,160.85
2.66,0,0,0,160.85
2.68,0,0,0,160.85
2.7,0,0,0,160.85
2.72,0,0,0,160.85
2.74,0,0,0,160.85
2.76,0,0,0,160.85
2.78,0,0,0,160.85
2.8,0,0,0,160.85
2.82,0,0,0,160.85
2.84,0,0,0,160.85
2.86,0,0,0,160.85
2.88,0,0,0,160.85
2.9,0,0,0,160.85
2.92,0,0,0,160.85
2.94,0,0,0,160.85
2.96,0,0,0,160.85
2.98,0,0,0,160.85
3,0,0,0,160.85
3.02,0,0,0,160.85
3.04,0,0,0,160.85
3.06,0,0,0,160.85
3.08,0,0,0,160.85
3.1,0,0,0,160.85
3.12,0,0,0,160.85
3.14,0,0,0,160.85
3.16,0,0,0,160.85
3.18,0,0,0,160.85
3.2,0,0,0,160.85
3.22,0,0,0,160.85
3.24,0,0,0,160.85
3.26,0,0,0,160.85
3.28,0,0,0,160.85
3.3,0,0,0,160.85
3.32,0,0,0,160.85
3.34,0,0,0,160.85
3.36,0,0,0,160.85
3.38,0,0,0,160.85
3.4,0,0,0,160.85
3.42,0,0,0,160.85
3.44,0,0,0,160.85
3.46,0,0,0,160.85
3.48,0,0,0,160.85
3.5,0,0,0,160.85
3.52,0,0,0,160.85
3.54,0,0,0,160.85
3.56,0,0,0,160.85
3.58,0,0,0,160.85
3.6,0,0,0,160.85
3.62,0,0,0,160.85
3.64,0,0,0,160.85
3.66,0,0,0,160.85
3.68,0,0,0,160.85
3.7,0,0,0,160.85
3.72,0,0,0,160.85
3.74,0,0,0,160.85
3.76,0,0,0,160.85
3.78,0,0,0,160.85
3.8,0,0,0,160.85
3.82,0,0,0,160.85
3.84,0,0,0,160.85
3.86,0,0,0,160.85
3.88,0,0,0,160.85
3.9,0,0,0,160.85
3.92,0,0,0,160.85
3.94,0,0,0,160.85
3.96,0,0,0,160.85
3.98,0,0,0,160.85
4,0,0,0,160.85
4.02,0,0,0,160.85
4.04,0,0,0,160.85
4.06,0,0,0,160.85
4.08,0,0,0,160.85
4.1,0,0,0,160.85
4.12,0,0,0,160.85
4.14,0,0,0,160.85
4.16,0,0,0,160.85
4.18,0,0,0,160.85
4.2,0,0,0,160.85
4.22,0,0,0,160.85
4.24,0,0,0,160.85
4.26,0,0,0,160.85
4.28,0,0,0,160.85
4.3,0,0,0,160.85
4.32,0,0,0,160.85
4.34,0,0,0,160.85
4.36,0,0,0,160.85
4.38,0,0,0,160.85
4.4,0,0,0,160.85
4.42,0,0,0,160.85
4.44,0,0,0,160.85
4.46,0,0,0,160.85
4.48,0,0,0,160.85
4.5,0,0,0,160.85
4.52,0,0,0,160.85
4.54,0,0,0,160.85
4.56,0,0,0,160.85
4.58,0,0,0,160.85
4.6,0,0,0,160.85
4.62,0,0,0,160.85
4.64,0,0,0,160.85
4.66,0,0,0,160.85
4.68,0,0,0,160.85
4.7,0,0,0,160.85
4.72,0,0,0,160.85
4.74,0,0,0,160.85
4.76,0,0,0,160.85
4.78,0,0,0,160.85
4.8,0,0,0,160.85
4.82,0,0,0,160.85
4.84,0,0,0,160.85
4.86,0,0,0,160.85
4.88,0,0,0,160.85
4.9,0,0,0,160.85
4.92,0,0,0,160.85
4.94,0,0,0,160.85
4.96,0,0,0,160.85
4.98,0,0,0,160.85
5,0,0,0,160.85
5.02,0,0,0,160.85
5.04,0,0,0,160.85
5.06,0,0,0,160.85
5.08,0,0,0,160.85
5.1,0,0,0,160.85
5.12,0,0,0,160.85
5.14,0,0,0,160.85
5.16,0,0,0,160.85
5.18,0,0,0,160.85
5.2,0,0,0,160.85
5.22,0,0,0,160.85
5.24,0,0,0,160.85
5.26,0,0,0,160.85
5.28,0,0,0,160.85
5.3,0,0,0,160.85
5.32,0,0,0,160.85
5.34,0,0,0,160.85
5.36,0,0,0,160.85
5.38,0,0,0,160.85
5.4,0,0,0,160.85
5.42,0,0,0,160.85
5.44,0,0,0,160.85
5.46,0,0,0,160.85
5.48,0,0,0,160.85
5.5,0,0,0,160.85
5.52,0,0,0,160.85
5.54,0,0,0,160.85
5.56,0,0,0,160.85
5.58,0,0,0,160.85
5.6,0,0,0,160.85
5.62,0,0,0,160.85
5.64,0,0,0,160.85
5.66,0,0,0,160.85
5.68,0,0,0,160.85
5.7,0,0,0,160.85
5.72,0,0,0,160.85
5.74,0,0,0,160.85
5.76,0,0,0,160.85
5.78,0,0,0,160.85
5.8,0,0,0,160.85
5.82,0,0,0,160.85
5.84,0,0,0,160.85
5.86,0,0,0,160.85
5.88,0,0,0,160.85
5.9,0,0,0,160.85
5.92,0,0,0,160.85
5.94,0,0,0,160.85
5.96,0,0,0,160.85
5.98,0,0,0,160.85
6,0,0,0,160.85
6.02,0,0,0,160.85
6.04,0,0,0,160.85
6.06,0,0,0,160.85
6.08,0,0,0,160.85
6.1,0,0,0,160.85
6.12,0,0,0,160.85
6.14,0,0,0,160.85
6.16,0,0,0,160.85
6.18,0,0,0,160.85
6.2,0,0,0,160.85
6.22,0,0,0,160.85
6.24,0,0,0,160.85
6.26,0,0,0,160.85
6.28,0,0,0,160.85
6.3,0,0,0,160.85
6.32,0,0,0,160.85
6.34,0,0,0,160.85
6.36,0,0,0,160.85
6.38,0,0,0,160.85
6.4,0,0,0,160.85
6.42,0,0,0,160.85
6.44,0,0,0,160.85
6.46,0,0,0,160.85
6.48,0,0,0,160.85
6.5,0,0,0,160.85
6.52,0,0,0,160.85
6.54,0,0,0,160.85
6.56,0,0,0,160.85
6.58,0,0,0,160.85
6.6,0,0,0,160.85
6.62,0,0,0,160.85
6.64,0,0,0,160.85
6.66,0,0,0,160.85
6.68,0,0,0,160.85
6.7,0,0,0,160.85
6.72,0,0,0,160.85
6.74,0,0,0,160.85
6.76,0,0,0,160.85
6.78,0,0,0,160.85
6.8,0,0,0,160.85
6.82,0,0,0,160.85
6.84,0,0,0,160.85
6.86,0,0,0,160.85
6.88,0,0,0,160.85
6.9,0,0,0,160.85
6.92,0,0,0,160.85
6.94,0,0,0,160.85
6.96,0,0,0,160.85
6.98,0,0,0,160.85
7,0,0,0,160.85
7.02,0,0,0,160.85
7.04,0,0,0,160.85
7.06,0,0,0,160.85
7.08,0,0,0,160.85
7.1,0,0,0,160.85
7.12,0,0,0,160.85
7.14,0,0,0,160.85
7.16,0,0,0,160.85
7.18,0,0,0,160.85
7.2,0,0,0,160.85
7.22,0,0,0,160.85
7.24,0,0,0,160.85
7.26,0,0,0,160.85
7.28,0,0,0,160.85
7.3,0,0,0,160.85
7.32,0,0,0,160.85
7.34,0,0,0,160.85
7.36,0,0,0,160.85
7.38,0,0,0,160.85
7.4,0,0,0,160.85
7.42,0,0,0,160.85
7.44,0,0,0,160.85
7.46,0,0,0,160.85
7.48,0,0,0,160.85
7.5,0,0,0,160.85
7.52,0,0,0,160.85
7.54,0,0,0,160.85
7.56,0,0,0,160.85
7.58,0,0,0,160.85
7.6,0,0,0,160.85
7.62,0,0,0,160.85
7.64,0,0,0,160.85
7.66,0,0,0,160.85
7.68,0,0,0,160.85
7.7,0,0,0,160.85
7.72,0,0,0,160.85
7.74,0,0,0,160.85
7.76,0,0,0,160.85
7.78,0,0,0,160.85
7.8,0,0,0,160.85
7.82,0,0,0,160.85
7.84,0,0,0,160.85
7.86,0,0,0,160.85
7.88,0,0,0,160.85
7.9,0,0,0,160.85
7.92,0,0,0,160.85
7.94,0,0,0,160.85
7.96,0,0,0,160.85
7.98,0,0,0,160.85
8,0,0,0,160.85
8.02,0,0,0,160.85
8.04,0,0,0,160.85
8.059999,0,0,0,160.85
8.08,0,0,0,160.85
8.099999,0,0,0,160.85
8.12,0,0,0,160.85
8.139999,0,0,0,160.85
8.16,0,0,0,160.85
8.179999,0,0,0,160.85
8.2,0,0,0,160.85
8.22,0,0,0,160.85
8.24,0,0,0,160.85
8.26,0,0,0,160.85
8.28,0,0,0,160.85
8.3,0,0,0,160.85
8.32,0,0,0,160.85
8.34,0,0,0,160.85
8.36,0,0,0,160.85
8.38,0,0,0,160.85
8.4,0,0,0,160.85
8.42,0,0,0,160.85
8.44,0,0,0,160.85
8.46,0,0,0,160.85
8.48,0,0,0,160.85
8.5,0,0,0,160.85
8.52,0,0,0,160.85
8.54,0,0,0,160.85
8.559999,0,0,0,160.85
8.58,0,0,0,160.85
8.599999,0,0,0,160.85
8.62,0,0,0,160.85
8.639999,0,0,0,160.85
8.66,0,0,0,160.85
8.679999,0,0,0,160.85
8.7,0,0,0,160.85
8.72,0,0,0,160.85
8.74,0,0,0,160.85
8.76,0,0,0,160.85
8.78,0,0,0,160.85
8.8,0,0,0,160.85
8.82,0,0,0,160.85
8.84,0,0,0,160.85
8.86,0,0,0,160.85
8.88,0,0,0,160.85
8.9,0,0,0,160.85
8.92,0,0,0,160.85
8.94,0,0,0,160.85
8.96,0,0,0,160.85
8.98,0,0,0,160.85
9,0,0,0,160.85
9.02,0,0,0,160.85
9.04,0,0,0,160.85
9.059999,0,0,0,160.85
9.08,0,0,0,160.85
9.099999,0,0,0,160.85
9.12,0,0,0,160.85
9.139999,0,0,0,160.85
9.16,0,0,0,160.85
9.179999,0,0,0,160.85
9.2,0,0,0,160.85
9.22,0,0,0,160.85
9.24,0,0,0,160.85
9.26,0,0,0,160.85
9.28,0,0,0,160.85
9.3,0,0,0,160.85
9.32,0,0,0,160.85
9.34,0,0,0,160.85
9.36,0,0,0,160.85
9.38,0,0,0,160.85
9.4,0,0,0,160.85
9.42,0,0,0,160.85
9.44,0,0,0,160.85
9.46,0,0,0,160.85
9.48,0,0,0,160.85
9.5,0,0,0,160.85
9.52,0,0,0,160.85
9.54,0,0,0,160.85
9.559999,0,0,0,160.85
9.58,0,0,0,160.85
9.599999,0,0,0,160.85
9.62,0,0,0,160.85
9.639999,0,0,0,160.85
