N,X,Z,Time
point 1,0,0,2024-06-24 19:07:29
point 2,0,12,2024-06-24 19:07:29
point 3,12,12,2024-06-24 19:07:29
point 4,12,0,2024-06-24 19:07:29
point 1,0,0,2024-06-24 19:10:10
point 2,0,12,2024-06-24 19:10:10
point 3,12,12,2024-06-24 19:10:10
point 4,12,0,2024-06-24 19:10:10
turn 1,-0.06867632,13.3184,2024-06-24 19:10:24
turn 2,14.64119,13.31339,2024-06-24 19:10:26
turn 3,14.63264,-5.606561,2024-06-24 19:10:27
turn 4,1.666007,-5.639853,2024-06-24 19:10:29
