N,X,Z,Time
point 1,0,0,2024-06-24 19:10:56
point 2,0,45,2024-06-24 19:10:56
point 3,45,45,2024-06-24 19:10:56
point 4,45,0,2024-06-24 19:10:56
turn 1,0.04305682,6.986367,2024-06-24 19:11:10
turn 2,0.04305682,6.986367,2024-06-24 19:11:11
turn 3,0.04305682,6.986367,2024-06-24 19:11:11
turn 4,0.04305682,6.986367,2024-06-24 19:11:12
