N,X,Z,Time
point 1,0,0,2024-06-24 19:11:17
point 2,25,25,2024-06-24 19:11:17
point 3,25,25,2024-06-24 19:11:17
point 4,25,0,2024-06-24 19:11:17
turn 1,0.05373694,5.970477,2024-06-24 19:11:45
turn 2,3.75144,5.924047,2024-06-24 19:11:46
turn 3,3.684324,-1.350979,2024-06-24 19:11:48
turn 4,-4.403046,-1.286603,2024-06-24 19:11:49
