N,X,Z,Time
point 1,0,0,2024-06-24 19:10:34
point 2,0,45,2024-06-24 19:10:34
point 3,45,45,2024-06-24 19:10:34
point 4,45,0,2024-06-24 19:10:34
turn 1,0.05069162,12.19557,2024-06-24 19:10:47
turn 2,5.465431,12.2062,2024-06-24 19:10:48
turn 3,5.514955,3.383575,2024-06-24 19:10:49
turn 4,-1.153803,3.387354,2024-06-24 19:10:51
