N,X,Z
point 1,0,0
point 2,0,8
point 3,8,8
point 4,8,0
turn 1,0.01133418,4.649912
turn 2,5.258329,4.639258
turn 3,5.258804,-1.290582
turn 4,-2.800368,-1.255416
