N,X,Z,Time
point 1,0,0,2024-06-26 16:04:25
point 2,0,45,2024-06-26 16:04:25
point 3,45,45,2024-06-26 16:04:25
point 4,45,0,2024-06-26 16:04:25
turn 1,-0.04276877,31.45464,2024-06-26 16:04:59
turn 2,32.22624,31.46173,2024-06-26 16:05:08
turn 3,32.09407,0.5327159,2024-06-26 16:05:19
turn 4,5.577243,0.7198654,2024-06-26 16:05:32
