N,X,Z,Time
point 1,0,0,2024-06-26 16:06:32
point 2,25,25,2024-06-26 16:06:32
point 3,25,25,2024-06-26 16:06:32
point 4,25,0,2024-06-26 16:06:32
turn 1,-0.0670313,35.94982,2024-06-26 16:06:51
turn 2,37.10772,36.06102,2024-06-26 16:06:57
turn 3,37.24075,0.08337201,2024-06-26 16:07:03
turn 4,5.202604,-0.1009418,2024-06-26 16:07:08
